[15Jan.2026 07:51:23.818] [Server thread/INFO] [com.simibubi.create.Create/]: [STATION-BE-DEBUG] Station 'Loader 2c' (ID: 9707c882): imminent=4471ce2f, trainCurrentStation=9707c882 (Loader 2c), match=true, trainPresent=true
[15Jan.2026 07:51:23.818] [Server thread/INFO] [com.simibubi.create.Create/]: [STATION-BE-DEBUG] Station 'Test_Loader' (ID: ff0dbaec): imminent=c1139545, trainCurrentStation=ff0dbaec (Test_Loader), match=true, trainPresent=true
[15Jan.2026 07:51:23.819] [Server thread/INFO] [com.simibubi.create.Create/]: [STATION-BE-DEBUG] Station 'Track Station' (ID: 32d0af9e): imminent=644421a5, trainCurrentStation=32d0af9e (Track Station), match=true, trainPresent=true
[15Jan.2026 07:51:23.821] [Server thread/INFO] [com.simibubi.create.Create/]: [STATION-BE-DEBUG] Station '1' (ID: b5f5c57f): imminent=3720ca0c, trainCurrentStation=b5f5c57f (1), match=true, trainPresent=true
[15Jan.2026 07:51:23.823] [Server thread/INFO] [com.simibubi.create.Create/]: [TRAIN-DEBUG] Train 4f06b50e (Unnamed Train) currentStation UUID cleared
[15Jan.2026 07:51:23.863] [Server thread/INFO] [com.simibubi.create.Create/]: [STATION-BE-DEBUG] Station '2' (ID: 5613bafb): imminent=e4e2b278, trainCurrentStation=5613bafb (2), match=true, trainPresent=true
[15Jan.2026 07:51:23.863] [Server thread/INFO] [com.simibubi.create.Create/]: [STATION-BE-DEBUG] Station 'Track Station' (ID: 1948e9cd): imminent=7702400c, trainCurrentStation=1948e9cd (Track Station), match=true, trainPresent=true
[15Jan.2026 07:51:23.864] [Server thread/INFO] [com.simibubi.create.Create/]: [STATION-BE-DEBUG] Station 'Loader 2c' (ID: 9707c882): imminent=4471ce2f, trainCurrentStation=9707c882 (Loader 2c), match=true, trainPresent=true
[15Jan.2026 07:51:23.865] [Server thread/INFO] [com.simibubi.create.Create/]: [STATION-BE-DEBUG] Station 'Test_Loader' (ID: ff0dbaec): imminent=c1139545, trainCurrentStation=ff0dbaec (Test_Loader), match=true, trainPresent=true
[15Jan.2026 07:51:23.865] [Server thread/INFO] [com.simibubi.create.Create/]: [STATION-BE-DEBUG] Station 'Track Station' (ID: 32d0af9e): imminent=644421a5, trainCurrentStation=32d0af9e (Track Station), match=true, trainPresent=true
[15Jan.2026 07:51:23.867] [Server thread/INFO] [com.simibubi.create.Create/]: [STATION-BE-DEBUG] Station '1' (ID: b5f5c57f): imminent=3720ca0c, trainCurrentStation=b5f5c57f (1), match=true, trainPresent=true
[15Jan.2026 07:51:23.909] [Server thread/INFO] [com.simibubi.create.Create/]: [STATION-BE-DEBUG] Station '2' (ID: 5613bafb): imminent=e4e2b278, trainCurrentStation=5613bafb (2), match=true, trainPresent=true
[15Jan.2026 07:51:23.909] [Server thread/INFO] [com.simibubi.create.Create/]: [STATION-BE-DEBUG] Station 'Track Station' (ID: 1948e9cd): imminent=7702400c, trainCurrentStation=1948e9cd (Track Station), match=true, trainPresent=true
[15Jan.2026 07:51:23.910] [Server thread/INFO] [com.simibubi.create.Create/]: [STATION-BE-DEBUG] Station 'Loader 2c' (ID: 9707c882): imminent=4471ce2f, trainCurrentStation=9707c882 (Loader 2c), match=true, trainPresent=true
[15Jan.2026 07:51:23.911] [Server thread/INFO] [com.simibubi.create.Create/]: [STATION-BE-DEBUG] Station 'Test_Loader' (ID: ff0dbaec): imminent=c1139545, trainCurrentStation=ff0dbaec (Test_Loader), match=true, trainPresent=true
[15Jan.2026 07:51:23.911] [Server thread/INFO] [com.simibubi.create.Create/]: [STATION-BE-DEBUG] Station 'Track Station' (ID: 32d0af9e): imminent=644421a5, trainCurrentStation=32d0af9e (Track Station), match=true, trainPresent=true
[15Jan.2026 07:51:23.914] [Server thread/INFO] [com.simibubi.create.Create/]: [STATION-BE-DEBUG] Station '1' (ID: b5f5c57f): imminent=3720ca0c, trainCurrentStation=b5f5c57f (1), match=true, trainPresent=true
[15Jan.2026 07:51:23.957] [Server thread/INFO] [com.simibubi.create.Create/]: [STATION-BE-DEBUG] Station '2' (ID: 5613bafb): imminent=e4e2b278, trainCurrentStation=5613bafb (2), match=true, trainPresent=true
[15Jan.2026 07:51:23.957] [Server thread/INFO] [com.simibubi.create.Create/]: [STATION-BE-DEBUG] Station 'Track Station' (ID: 1948e9cd): imminent=7702400c, trainCurrentStation=1948e9cd (Track Station), match=true, trainPresent=true
[15Jan.2026 07:51:23.958] [Server thread/INFO] [com.simibubi.create.Create/]: [STATION-BE-DEBUG] Station 'Loader 2c' (ID: 9707c882): imminent=4471ce2f, trainCurrentStation=9707c882 (Loader 2c), match=true, trainPresent=true
[15Jan.2026 07:51:23.959] [Server thread/INFO] [com.simibubi.create.Create/]: [STATION-BE-DEBUG] Station 'Test_Loader' (ID: ff0dbaec): imminent=c1139545, trainCurrentStation=ff0dbaec (Test_Loader), match=true, trainPresent=true
[15Jan.2026 07:51:23.959] [Server thread/INFO] [com.simibubi.create.Create/]: [STATION-BE-DEBUG] Station 'Track Station' (ID: 32d0af9e): imminent=644421a5, trainCurrentStation=32d0af9e (Track Station), match=true, trainPresent=true
[15Jan.2026 07:51:23.961] [Server thread/INFO] [com.simibubi.create.Create/]: [STATION-BE-DEBUG] Station '1' (ID: b5f5c57f): imminent=3720ca0c, trainCurrentStation=b5f5c57f (1), match=true, trainPresent=true
[15Jan.2026 07:51:24.006] [Server thread/INFO] [com.simibubi.create.Create/]: [STATION-BE-DEBUG] Station '2' (ID: 5613bafb): imminent=e4e2b278, trainCurrentStation=5613bafb (2), match=true, trainPresent=true
[15Jan.2026 07:51:24.006] [Server thread/INFO] [com.simibubi.create.Create/]: [STATION-BE-DEBUG] Station 'Track Station' (ID: 1948e9cd): imminent=7702400c, trainCurrentStation=1948e9cd (Track Station), match=true, trainPresent=true
[15Jan.2026 07:51:24.007] [Server thread/INFO] [com.simibubi.create.Create/]: [STATION-BE-DEBUG] Station 'Loader 2c' (ID: 9707c882): imminent=4471ce2f, trainCurrentStation=9707c882 (Loader 2c), match=true, trainPresent=true
[15Jan.2026 07:51:24.008] [Server thread/INFO] [com.simibubi.create.Create/]: [STATION-BE-DEBUG] Station 'Test_Loader' (ID: ff0dbaec): imminent=c1139545, trainCurrentStation=ff0dbaec (Test_Loader), match=true, trainPresent=true
[15Jan.2026 07:51:24.008] [Server thread/INFO] [com.simibubi.create.Create/]: [STATION-BE-DEBUG] Station 'Track Station' (ID: 32d0af9e): imminent=644421a5, trainCurrentStation=32d0af9e (Track Station), match=true, trainPresent=true
[15Jan.2026 07:51:24.011] [Server thread/INFO] [com.simibubi.create.Create/]: [STATION-BE-DEBUG] Station '1' (ID: b5f5c57f): imminent=3720ca0c, trainCurrentStation=b5f5c57f (1), match=true, trainPresent=true
[15Jan.2026 07:51:24.053] [Server thread/INFO] [com.simibubi.create.Create/]: [STATION-BE-DEBUG] Station '2' (ID: 5613bafb): imminent=e4e2b278, trainCurrentStation=5613bafb (2), match=true, trainPresent=true
[15Jan.2026 07:51:24.053] [Server thread/INFO] [com.simibubi.create.Create/]: [STATION-BE-DEBUG] Station 'Track Station' (ID: 1948e9cd): imminent=7702400c, trainCurrentStation=1948e9cd (Track Station), match=true, trainPresent=true
[15Jan.2026 07:51:24.054] [Server thread/INFO] [com.simibubi.create.Create/]: [STATION-BE-DEBUG] Station 'Loader 2c' (ID: 9707c882): imminent=4471ce2f, trainCurrentStation=9707c882 (Loader 2c), match=true, trainPresent=true
[15Jan.2026 07:51:24.055] [Server thread/INFO] [com.simibubi.create.Create/]: [STATION-BE-DEBUG] Station 'Test_Loader' (ID: ff0dbaec): imminent=c1139545, trainCurrentStation=ff0dbaec (Test_Loader), match=true, trainPresent=true
[15Jan.2026 07:51:24.055] [Server thread/INFO] [com.simibubi.create.Create/]: [STATION-BE-DEBUG] Station 'Track Station' (ID: 32d0af9e): imminent=644421a5, trainCurrentStation=32d0af9e (Track Station), match=true, trainPresent=true
[15Jan.2026 07:51:24.058] [Server thread/INFO] [com.simibubi.create.Create/]: [STATION-BE-DEBUG] Station '1' (ID: b5f5c57f): imminent=3720ca0c, trainCurrentStation=b5f5c57f (1), match=true, trainPresent=true
[15Jan.2026 07:51:24.117] [Server thread/INFO] [com.simibubi.create.Create/]: [STATION-BE-DEBUG] Station '2' (ID: 5613bafb): imminent=e4e2b278, trainCurrentStation=5613bafb (2), match=true, trainPresent=true
[15Jan.2026 07:51:24.117] [Server thread/INFO] [com.simibubi.create.Create/]: [STATION-BE-DEBUG] Station 'Track Station' (ID: 1948e9cd): imminent=7702400c, trainCurrentStation=1948e9cd (Track Station), match=true, trainPresent=true
[15Jan.2026 07:51:24.118] [Server thread/INFO] [com.simibubi.create.Create/]: [STATION-BE-DEBUG] Station 'Loader 2c' (ID: 9707c882): imminent=4471ce2f, trainCurrentStation=9707c882 (Loader 2c), match=true, trainPresent=true
[15Jan.2026 07:51:24.119] [Server thread/INFO] [com.simibubi.create.Create/]: [STATION-BE-DEBUG] Station 'Test_Loader' (ID: ff0dbaec): imminent=c1139545, trainCurrentStation=ff0dbaec (Test_Loader), match=true, trainPresent=true
[15Jan.2026 07:51:24.119] [Server thread/INFO] [com.simibubi.create.Create/]: [STATION-BE-DEBUG] Station 'Track Station' (ID: 32d0af9e): imminent=644421a5, trainCurrentStation=32d0af9e (Track Station), match=true, trainPresent=true
[15Jan.2026 07:51:24.122] [Server thread/INFO] [com.simibubi.create.Create/]: [STATION-BE-DEBUG] Station '1' (ID: b5f5c57f): imminent=3720ca0c, trainCurrentStation=b5f5c57f (1), match=true, trainPresent=true
[15Jan.2026 07:51:24.124] [Server thread/INFO] [com.simibubi.create.Create/]: [TRAIN-DEBUG] Train 9aede153 (Unnamed Train) currentStation UUID cleared
[15Jan.2026 07:51:24.166] [Server thread/INFO] [com.simibubi.create.Create/]: [STATION-BE-DEBUG] Station '2' (ID: 5613bafb): imminent=e4e2b278, trainCurrentStation=5613bafb (2), match=true, trainPresent=true
[15Jan.2026 07:51:24.166] [Server thread/INFO] [com.simibubi.create.Create/]: [STATION-BE-DEBUG] Station 'Track Station' (ID: 1948e9cd): imminent=7702400c, trainCurrentStation=1948e9cd (Track Station), match=true, trainPresent=true
[15Jan.2026 07:51:24.167] [Server thread/INFO] [com.simibubi.create.Create/]: [STATION-BE-DEBUG] Station 'Loader 2c' (ID: 9707c882): imminent=4471ce2f, trainCurrentStation=9707c882 (Loader 2c), match=true, trainPresent=true
[15Jan.2026 07:51:24.167] [Server thread/INFO] [com.simibubi.create.Create/]: [STATION-BE-DEBUG] Station 'Test_Loader' (ID: ff0dbaec): imminent=c1139545, trainCurrentStation=ff0dbaec (Test_Loader), match=true, trainPresent=true
[15Jan.2026 07:51:24.168] [Server thread/INFO] [com.simibubi.create.Create/]: [STATION-BE-DEBUG] Station 'Track Station' (ID: 32d0af9e): imminent=644421a5, trainCurrentStation=32d0af9e (Track Station), match=true, trainPresent=true
[15Jan.2026 07:51:24.170] [Server thread/INFO] [com.simibubi.create.Create/]: [STATION-BE-DEBUG] Station '1' (ID: b5f5c57f): imminent=3720ca0c, trainCurrentStation=b5f5c57f (1), match=true, trainPresent=true
[15Jan.2026 07:51:24.214] [Server thread/INFO] [com.simibubi.create.Create/]: [STATION-BE-DEBUG] Station '2' (ID: 5613bafb): imminent=e4e2b278, trainCurrentStation=5613bafb (2), match=true, trainPresent=true
[15Jan.2026 07:51:24.214] [Server thread/INFO] [com.simibubi.create.Create/]: [STATION-BE-DEBUG] Station 'Track Station' (ID: 1948e9cd): imminent=7702400c, trainCurrentStation=1948e9cd (Track Station), match=true, trainPresent=true
[15Jan.2026 07:51:24.215] [Server thread/INFO] [com.simibubi.create.Create/]: [STATION-BE-DEBUG] Station 'Loader 2c' (ID: 9707c882): imminent=4471ce2f, trainCurrentStation=9707c882 (Loader 2c), match=true, trainPresent=true
[15Jan.2026 07:51:24.216] [Server thread/INFO] [com.simibubi.create.Create/]: [STATION-BE-DEBUG] Station 'Test_Loader' (ID: ff0dbaec): imminent=c1139545, trainCurrentStation=ff0dbaec (Test_Loader), match=true, trainPresent=true
[15Jan.2026 07:51:24.216] [Server thread/INFO] [com.simibubi.create.Create/]: [STATION-BE-DEBUG] Station 'Track Station' (ID: 32d0af9e): imminent=644421a5, trainCurrentStation=32d0af9e (Track Station), match=true, trainPresent=true
[15Jan.2026 07:51:24.219] [Server thread/INFO] [com.simibubi.create.Create/]: [STATION-BE-DEBUG] Station '1' (ID: b5f5c57f): imminent=3720ca0c, trainCurrentStation=b5f5c57f (1), match=true, trainPresent=true
[15Jan.2026 07:51:24.262] [Server thread/INFO] [com.simibubi.create.Create/]: [STATION-BE-DEBUG] Station '2' (ID: 5613bafb): imminent=e4e2b278, trainCurrentStation=5613bafb (2), match=true, trainPresent=true
[15Jan.2026 07:51:24.262] [Server thread/INFO] [com.simibubi.create.Create/]: [STATION-BE-DEBUG] Station 'Track Station' (ID: 1948e9cd): imminent=7702400c, trainCurrentStation=1948e9cd (Track Station), match=true, trainPresent=true
[15Jan.2026 07:51:24.263] [Server thread/INFO] [com.simibubi.create.Create/]: [STATION-BE-DEBUG] Station 'Loader 2c' (ID: 9707c882): imminent=4471ce2f, trainCurrentStation=9707c882 (Loader 2c), match=true, trainPresent=true
[15Jan.2026 07:51:24.264] [Server thread/INFO] [com.simibubi.create.Create/]: [STATION-BE-DEBUG] Station 'Test_Loader' (ID: ff0dbaec): imminent=c1139545, trainCurrentStation=ff0dbaec (Test_Loader), match=true, trainPresent=true
[15Jan.2026 07:51:24.264] [Server thread/INFO] [com.simibubi.create.Create/]: [STATION-BE-DEBUG] Station 'Track Station' (ID: 32d0af9e): imminent=644421a5, trainCurrentStation=32d0af9e (Track Station), match=true, trainPresent=true
